[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 1 draw 103 6.1s
    [en] fold 1 draw 104 6.1s
    [en] fold 1 draw 105 6.0s
    [en] fold 1 draw 106 6.7s
    [en] fold 1 draw 107 6.4s
    [en] fold 1 draw 108 6.1s
    [en] fold 1 draw 109 6.1s
    [en] fold 1 draw 110 6.1s
    [en] fold 1 draw 111 6.0s
    [en] fold 1 draw 112 6.3s
    [en] fold 1 draw 113 6.2s
    [en] fold 1 draw 114 6.0s
    [en] fold 1 draw 115 6.0s
    [en] fold 1 draw 116 6.1s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 1 setup 1.9s (arena=False draws=83)
    [en] fold 1 draw 117 7.9s
    [en] fold 1 draw 118 6.1s
    [en] fold 1 draw 119 6.1s
    [en] fold 1 draw 120 6.1s
    [en] fold 1 draw 121 6.0s
    [en] fold 1 draw 122 6.0s
    [en] fold 1 draw 123 6.0s
    [en] fold 1 draw 124 6.1s
    [en] fold 1 draw 125 6.1s
    [en] fold 1 draw 126 6.0s
    [en] fold 1 draw 127 6.0s
    [en] fold 1 draw 128 6.1s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 1 setup 1.9s (arena=False draws=71)
    [en] fold 1 draw 129 7.1s
    [en] fold 1 draw 130 6.1s
    [en] fold 1 draw 131 6.2s
    [en] fold 1 draw 132 6.3s
    [en] fold 1 draw 133 6.2s
    [en] fold 1 draw 134 6.1s
    [en] fold 1 draw 135 6.2s
    [en] fold 1 draw 136 6.1s
    [en] fold 1 draw 137 6.2s
    [en] fold 1 draw 138 6.2s
    [en] fold 1 draw 139 6.2s
    [en] fold 1 draw 140 6.2s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 1 setup 2.0s (arena=False draws=59)
    [en] fold 1 draw 141 7.4s
    [en] fold 1 draw 142 6.1s
    [en] fold 1 draw 143 6.1s
    [en] fold 1 draw 144 6.1s
    [en] fold 1 draw 145 6.1s
    [en] fold 1 draw 146 6.1s
    [en] fold 1 draw 147 6.1s
    [en] fold 1 draw 148 6.1s
    [en] fold 1 draw 149 6.1s
    [en] fold 1 draw 150 6.0s
    [en] fold 1 draw 151 6.1s
    [en] fold 1 draw 152 6.0s
    [en] fold 1 draw 153 6.1s
    [en] fold 1 draw 154 6.0s
    [en] fold 1 draw 155 6.0s
    [en] fold 1 draw 156 6.1s
    [en] fold 1 draw 157 6.1s
    [en] fold 1 draw 158 6.1s
    [en] fold 1 draw 159 6.1s
    [en] fold 1 draw 160 6.0s
    [en] fold 1 draw 161 6.2s
    [en] fold 1 draw 162 6.2s
    [en] fold 1 draw 163 6.1s
    [en] fold 1 draw 164 6.0s
    [en] fold 1 draw 165 6.3s
    [en] fold 1 draw 166 6.4s
    [en] fold 1 draw 167 6.4s
    [en] fold 1 draw 168 6.3s
    [en] fold 1 draw 169 6.4s
    [en] fold 1 draw 170 6.4s
    [en] fold 1 draw 171 6.3s
    [en] fold 1 draw 172 6.3s
    [en] fold 1 draw 173 6.3s
    [en] fold 1 draw 174 6.3s
    [en] fold 1 draw 175 6.4s
    [en] fold 1 draw 176 6.4s
    [en] fold 1 draw 177 6.4s
    [en] fold 1 draw 178 6.5s
    [en] fold 1 draw 179 6.4s
    [en] fold 1 draw 180 6.4s
    [en] fold 1 draw 181 6.3s
    [en] fold 1 draw 182 6.3s
    [en] fold 1 draw 183 6.4s
    [en] fold 1 draw 184 6.3s
    [en] fold 1 draw 185 6.3s
    [en] fold 1 draw 186 6.3s
    [en] fold 1 draw 187 6.4s
    [en] fold 1 draw 188 6.3s
    [en] fold 1 draw 189 6.3s
    [en] fold 1 draw 190 6.1s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 1 setup 1.9s (arena=False draws=9)
    [en] fold 1 draw 191 7.3s
    [en] fold 1 draw 192 6.1s
    [en] fold 1 draw 193 6.1s
    [en] fold 1 draw 194 6.1s
    [en] fold 1 draw 195 6.3s
    [en] fold 1 draw 196 6.1s
    [en] fold 1 draw 197 6.1s
    [en] fold 1 draw 198 6.4s
    [en] fold 1 draw 199 6.2s
    [en] fold 2 setup 1.9s (arena=False draws=200)
    [en] fold 2 draw 0 6.2s
    [en] fold 2 draw 1 6.1s
    [en] fold 2 draw 2 6.2s
